	unknown	other
accipiter	Accipitriformes	other birds
accipiter_cooperii	Accipitriformes	other birds
accipiter_gentilis	Accipitriformes	other birds
accipiter_gentilis_schvedowi	Accipitriformes	other birds
accipiter_nisus	Accipitriformes	other birds
accipiter_gentilis_-goshawk-	Accipitriformes	other birds
accipiter_trivirgatus	Accipitriformes	other birds
acinonyx_jubatus	Carnivora	mammalian
adelie_penguin	Sphenisciformes	other birds
african_oystercatcher	Charadriiformes	Anseri/Charadriiformes
african_penguin	Sphenisciformes	other birds
african_starling	Passeriformes	other birds
african_stonechat	Passeriformes	other birds
air_sample	environment	other
aix_galericulata	Anseriformes	Anseri/Charadriiformes
aix_sponsa	Anseriformes	Anseri/Charadriiformes
alectoris_chukar	Galliformes	terrestrial poultry
alopochen_aegyptiaca	Anseriformes	Anseri/Charadriiformes
alopochen_aegyptiacus	Anseriformes	Anseri/Charadriiformes
amazona_albifrons	Psittaciformes	other birds
american_black_duck	Anseriformes	Anseri/Charadriiformes
american_coot	Gruiformes	other birds
american_crow	Passeriformes	other birds
american_green-winged_teal	Anseriformes	Anseri/Charadriiformes
american_green-winged_teal-_hunter_harvest	Anseriformes	Anseri/Charadriiformes
american_green_winged_teal	Anseriformes	Anseri/Charadriiformes
american_green-winged_teal-_live_bird_surveillance	Anseriformes	Anseri/Charadriiformes
american_oystercatcher	Charadriiformes	Anseri/Charadriiformes
american_white_pelican	Pelecaniformes	other birds
american_widgeon	Anseriformes	Anseri/Charadriiformes
american_wigeon	Anseriformes	Anseri/Charadriiformes
american_wigeon-_hunter_harvest	Anseriformes	Anseri/Charadriiformes
anas_actam	Anseriformes	Anseri/Charadriiformes
anas_actam-_northern_pintail_duck	Anseriformes	Anseri/Charadriiformes
anas_acuta	Anseriformes	Anseri/Charadriiformes
anas_acuta_-northern_pintail	Anseriformes	Anseri/Charadriiformes
anas_acuta_-northern_pintail-	Anseriformes	Anseri/Charadriiformes
anas_acuta_-pintail-	Anseriformes	Anseri/Charadriiformes
anas_americana	Anseriformes	Anseri/Charadriiformes
anas_boschas	Anseriformes	Anseri/Charadriiformes
anas_carolinensis	Anseriformes	Anseri/Charadriiformes
anas_carolinensis_-american_green-winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_castanea	Anseriformes	Anseri/Charadriiformes
anas_clypeata	Anseriformes	Anseri/Charadriiformes
anas_clypeata_-northern_shoveler-	Anseriformes	Anseri/Charadriiformes
anas_crecca	Anseriformes	Anseri/Charadriiformes
anas_crecca_-american_green-winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_crecca_-green_winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_crecca_-green-winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_crecca_carolinensis	Anseriformes	Anseri/Charadriiformes
anas_cyanoptera	Anseriformes	Anseri/Charadriiformes
anas_discors	Anseriformes	Anseri/Charadriiformes
anas_discors_-blue-winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_discors_-blue_winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_erythrorhyncha	Anseriformes	Anseri/Charadriiformes
anas_falcata	Anseriformes	Anseri/Charadriiformes
anas_flavirostris	Anseriformes	Anseri/Charadriiformes
anas_formosa	Anseriformes	Anseri/Charadriiformes
anas_georgica	Anseriformes	Anseri/Charadriiformes
anas_gracilis	Anseriformes	Anseri/Charadriiformes
anas_penelope	Anseriformes	Anseri/Charadriiformes
anas_platalea	Anseriformes	Anseri/Charadriiformes
anas_plathyrhynchos	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_-mallard-	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_-mallard_ducks-	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_a_migratory_duck	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_domesticus	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_domesticus-_duck	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_domesticus_-duck-	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_f-_domestica	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_f._domestica	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_var	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_var-_domestica	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_var-_domesticus	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_var-domestica	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_var-domesticus	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_var._domesticus	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_x_anas_acuta	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos-_duck	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos-_healthy_migratory_mallard	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos-_hunted	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_-mallard_duck-	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_-khaki_campbell_duck-	Anseriformes	Anseri/Charadriiformes
anas_platyrhynchos_f	Anseriformes	Anseri/Charadriiformes
anas_poecilorhyncha	Anseriformes	Anseri/Charadriiformes
anas_poecilorhyncha-_duck	Anseriformes	Anseri/Charadriiformes
anas_querquedula	Anseriformes	Anseri/Charadriiformes
anas_rubripes	Anseriformes	Anseri/Charadriiformes
anas_rubripes_-black_duck-	Anseriformes	Anseri/Charadriiformes
anas_sibilatrix	Anseriformes	Anseri/Charadriiformes
anas_smithii	Anseriformes	Anseri/Charadriiformes
anas_sp	Anseriformes	Anseri/Charadriiformes
anas_sp-	Anseriformes	Anseri/Charadriiformes
anas_sp.	Anseriformes	Anseri/Charadriiformes
anas_spp-	Anseriformes	Anseri/Charadriiformes
anas_strepera	Anseriformes	Anseri/Charadriiformes
anas_superciliosa	Anseriformes	Anseri/Charadriiformes
anas_undalata	Anseriformes	Anseri/Charadriiformes
anas_undulata_ruppelli	Anseriformes	Anseri/Charadriiformes
anas_zonorhyncha	Anseriformes	Anseri/Charadriiformes
anatidae	Anseriformes	Anseri/Charadriiformes
animal	unknown	other
anser_albifrons	Anseriformes	Anseri/Charadriiformes
anser_albifrons_-greater_white-fronted_goose-	Anseriformes	Anseri/Charadriiformes
anser_anser	Anseriformes	Anseri/Charadriiformes
anser_anser_domesticus	Anseriformes	Anseri/Charadriiformes
anser_brachyrhynchus	Anseriformes	Anseri/Charadriiformes
anser_caerulescens	Anseriformes	Anseri/Charadriiformes
anser_canagica	Anseriformes	Anseri/Charadriiformes
anser_canagica_-emperor_goose-	Anseriformes	Anseri/Charadriiformes
anser_cygnoides	Anseriformes	Anseri/Charadriiformes
anser_cygnoides_domesticus	Anseriformes	Anseri/Charadriiformes
anser_erythropus	Anseriformes	Anseri/Charadriiformes
anser_fabalis	Anseriformes	Anseri/Charadriiformes
anser_indicus	Anseriformes	Anseri/Charadriiformes
anser_rossii	Anseriformes	Anseri/Charadriiformes
anser_sp-	Anseriformes	Anseri/Charadriiformes
anser_sp.	Anseriformes	Anseri/Charadriiformes
anseriformes	Anseriformes	Anseri/Charadriiformes
anseriformes_sp-	Anseriformes	Anseri/Charadriiformes
anseriformes_sp.	Anseriformes	Anseri/Charadriiformes
anthropoides_virgo	Gruiformes	other birds
aquatic_bird	avian	other birds
ardea_cinerea	Pelecaniformes	other birds
ardeidae_sp-	Pelecaniformes	other birds
ardeola_bacchus	Pelecaniformes	other birds
arenaria_interpres	Charadriiformes	Anseri/Charadriiformes
arenaria_interpres_-ruddy_turnstone-	Charadriiformes	Anseri/Charadriiformes
armenian_gull	Charadriiformes	Anseri/Charadriiformes
artibeus_lituratus	Chiroptera	mammalian
artibeus_obscurus	Chiroptera	mammalian
artibeus_planirostris	Chiroptera	mammalian
athene_noctua	Strigiformes	other birds
australian_shelduck	Anseriformes	Anseri/Charadriiformes
aves	avian	other birds
aves_anserformes_anas_platyrhynchos_var-domestica	Anseriformes	Anseri/Charadriiformes
avian	avian	other birds
aythya_affinis	Anseriformes	Anseri/Charadriiformes
aythya_americana	Anseriformes	Anseri/Charadriiformes
aythya_collaris	Anseriformes	Anseri/Charadriiformes
aythya_ferina	Anseriformes	Anseri/Charadriiformes
aythya_fuligula	Anseriformes	Anseri/Charadriiformes
aythya_fuligula_-duck-	Anseriformes	Anseri/Charadriiformes
aythya_fuligula_-tufted_duck-	Anseriformes	Anseri/Charadriiformes
aythya_marila	Anseriformes	Anseri/Charadriiformes
aythya_marila_-duck-	Anseriformes	Anseri/Charadriiformes
aythya_nyroca	Anseriformes	Anseri/Charadriiformes
aythya_valisineria	Anseriformes	Anseri/Charadriiformes
aythya_marila_-greater_scaup-	Anseriformes	Anseri/Charadriiformes
babbler	Passeriformes	other birds
backyard_chicken	Galliformes	terrestrial poultry
backyard_duck	Anseriformes	Anseri/Charadriiformes
backyard_poultry	Galliformes	terrestrial poultry
baer-s_pochard	Anseriformes	Anseri/Charadriiformes
baikal_teal	Anseriformes	Anseri/Charadriiformes
baikai_teal	Anseriformes	Anseri/Charadriiformes
baladi_duck	Anseriformes	Anseri/Charadriiformes
bald_eagle	Accipitriformes	other birds
bantam	avian	other birds
bar-headed_goose	Anseriformes	Anseri/Charadriiformes
bar_headed_goose	Anseriformes	Anseri/Charadriiformes
bar-headed_goose_-anser_indicus-	Anseriformes	Anseri/Charadriiformes
barn_swallow	Passeriformes	other birds
barnacle_goose	Anseriformes	Anseri/Charadriiformes
barnswallow	Passeriformes	other birds
bat	Chiroptera	mammalian
bean_goose	Anseriformes	Anseri/Charadriiformes
bean_goose-anser_fabalis-	Anseriformes	Anseri/Charadriiformes
bee-eater	Coraciiformes	other birds
bengal_tiger_in_zoo	Carnivora	mammalian
bewick-s_swan	Anseriformes	Anseri/Charadriiformes
bewick_swan	Anseriformes	Anseri/Charadriiformes
bewicks_swan	Anseriformes	Anseri/Charadriiformes
bikini_ducks	Anseriformes	Anseri/Charadriiformes
bird	avian	other birds
bird_feces	avian	other birds
black-bellied_tree_duck	Anseriformes	Anseri/Charadriiformes
black-bellied_whistling_duck	Anseriformes	Anseri/Charadriiformes
black-billed_magpie	Passeriformes	other birds
black-crowned_night_heron	Pelecaniformes	other birds
black-headed_goose	Anseriformes	Anseri/Charadriiformes
black-headed_gull	Charadriiformes	Anseri/Charadriiformes
black_kite	Accipitriformes	other birds
black-legged_kittiwake	Charadriiformes	Anseri/Charadriiformes
black-legged_kittywake	Charadriiformes	Anseri/Charadriiformes
black-neck_crane	Gruiformes	other birds
black-necked_crane	Gruiformes	other birds
black-necked_grebe	Podicipediformes	other birds
black-necked_stilt	Charadriiformes	Anseri/Charadriiformes
black_nested_grebe	Podicipediformes	other birds
black-tailed_godwit	Charadriiformes	Anseri/Charadriiformes
black-tailed_gull	Charadriiformes	Anseri/Charadriiformes
black-winged_curlew	Charadriiformes	Anseri/Charadriiformes
black-winged_stilt	Charadriiformes	Anseri/Charadriiformes
black_winged_stilt	Charadriiformes	Anseri/Charadriiformes
black_bellied_whistling_duck	Anseriformes	Anseri/Charadriiformes
black_bulbul	Passeriformes	other birds
black_chicken	Galliformes	terrestrial poultry
black_duck	Anseriformes	Anseri/Charadriiformes
black_headed_gull	Charadriiformes	Anseri/Charadriiformes
black_scoter	Anseriformes	Anseri/Charadriiformes
black_skimmer	Charadriiformes	Anseri/Charadriiformes
black_swan	Anseriformes	Anseri/Charadriiformes
blackbird	Passeriformes	other birds
blackhead_gull	Charadriiformes	Anseri/Charadriiformes
blackish_oystercatcher	Charadriiformes	Anseri/Charadriiformes
blue-winged_teal	Anseriformes	Anseri/Charadriiformes
blue-winged_teal_-anas_discors-	Anseriformes	Anseri/Charadriiformes
blue_&_white_flycatcher	Passeriformes	other birds
blue_goose	Anseriformes	Anseri/Charadriiformes
blue_magpie	Passeriformes	other birds
blue_winged-teal	Anseriformes	Anseri/Charadriiformes
blue_winged_teal	Anseriformes	Anseri/Charadriiformes
bluebird	Passeriformes	other birds
bovine	Artiodactyla	mammalian
brambling	Passeriformes	other birds
brant	Anseriformes	Anseri/Charadriiformes
branta_bernicla	Anseriformes	Anseri/Charadriiformes
branta_bernicla_-brant-	Anseriformes	Anseri/Charadriiformes
branta_canadensis	Anseriformes	Anseri/Charadriiformes
branta_canadensis_-canada_goose-	Anseriformes	Anseri/Charadriiformes
brant_goose	Anseriformes	Anseri/Charadriiformes
branta_hutchinsii	Anseriformes	Anseri/Charadriiformes
branta_hutchinsii_-cackling_goose-	Anseriformes	Anseri/Charadriiformes
branta_leucopsis	Anseriformes	Anseri/Charadriiformes
breeder_chicken	Galliformes	terrestrial poultry
breeder_duck	Anseriformes	Anseri/Charadriiformes
brent_goose	Anseriformes	Anseri/Charadriiformes
broiler	Galliformes	terrestrial poultry
broiler_breeders	Galliformes	terrestrial poultry
broiler-chicken	Galliformes	terrestrial poultry
broiler_chicken	Galliformes	terrestrial poultry
broiler_chicken-gallus_gallus_domesticus-	Galliformes	terrestrial poultry
broiler_duck	Anseriformes	Anseri/Charadriiformes
brown-head_gull	Charadriiformes	Anseri/Charadriiformes
brown-headed_gull	Charadriiformes	Anseri/Charadriiformes
brown-hooded_gull	Charadriiformes	Anseri/Charadriiformes
brown_skua	Charadriiformes	Anseri/Charadriiformes
bubo_scandiacus	Strigiformes	other birds
bucefala_clangula	Anseriformes	Anseri/Charadriiformes
bucephala_albeola	Anseriformes	Anseri/Charadriiformes
bucephala_albeola_-bufflehead-	Anseriformes	Anseri/Charadriiformes
bucephala_clangula	Anseriformes	Anseri/Charadriiformes
budgerigar	Psittaciformes	other birds
bufflehead	Anseriformes	Anseri/Charadriiformes
bulbul	Passeriformes	other birds
butastur_indicus	Accipitriformes	other birds
buteo	Accipitriformes	other birds
buteo_augur	Accipitriformes	other birds
buteo_buteo	Accipitriformes	other birds
buteo_jamaicensis	Accipitriformes	other birds
buteo_japonicus	Accipitriformes	other birds
buteo_lineatus	Accipitriformes	other birds
buzzard	Accipitriformes	other birds
cackling_goose	Anseriformes	Anseri/Charadriiformes
cairina_moschata	Anseriformes	Anseri/Charadriiformes
calidris_alba	Charadriiformes	Anseri/Charadriiformes
calidris_alpina	Charadriiformes	Anseri/Charadriiformes
calidris_alpina_-dunlin-	Charadriiformes	Anseri/Charadriiformes
calidris_alpina_-dunlin--_hy	Charadriiformes	Anseri/Charadriiformes
calidris_canutus	Charadriiformes	Anseri/Charadriiformes
calidris_fuscicollis	Charadriiformes	Anseri/Charadriiformes
calidris_minutilla	Charadriiformes	Anseri/Charadriiformes
calidris_pusilla	Charadriiformes	Anseri/Charadriiformes
calidris_ruficollis	Charadriiformes	Anseri/Charadriiformes
california_gull	Charadriiformes	Anseri/Charadriiformes
call_duck	Anseriformes	Anseri/Charadriiformes
callonetta_leucophrys	Anseriformes	Anseri/Charadriiformes
camel	Artiodactyla	mammalian
camelus_dromedarius	Artiodactyla	mammalian
canada_goose	Anseriformes	Anseri/Charadriiformes
canada_goose-_mortality_investigation	Anseriformes	Anseri/Charadriiformes
canine	Carnivora	mammalian
canis_lupus_familiaris	Carnivora	mammalian
canis_lupus_familiaris_breed_miniature_schnauzer	Carnivora	mammalian
canvasback	Anseriformes	Anseri/Charadriiformes
cape_cormorant	Suliformes	other birds
cape_shoveller	Anseriformes	Anseri/Charadriiformes
cape_teal	Anseriformes	Anseri/Charadriiformes
cape_teal/cape_shoveller	Anseriformes	Anseri/Charadriiformes
caspian_seal	Carnivora	mammalian
cat	Carnivora	mammalian
cattle	Artiodactyla	mammalian
cattle_egret	Pelecaniformes	other birds
charadriiformes	Charadriiformes	Anseri/Charadriiformes
chciken	Galliformes	terrestrial poultry
cheetah	Carnivora	mammalian
chen_caerulescens	Anseriformes	Anseri/Charadriiformes
chen_caerulescens_-lesser_snow_goose-	Anseriformes	Anseri/Charadriiformes
chen_canagica	Anseriformes	Anseri/Charadriiformes
chen_canagica_-emperor_goose-	Anseriformes	Anseri/Charadriiformes
chestnut_munia	Passeriformes	other birds
chestnut_teal	Anseriformes	Anseri/Charadriiformes
chick	Galliformes	terrestrial poultry
chichen	Galliformes	terrestrial poultry
chicken	Galliformes	terrestrial poultry
chicken-_backyard	Galliformes	terrestrial poultry
chicken-_backyard_flock	Galliformes	terrestrial poultry
chicken-_backyard_poultry	Galliformes	terrestrial poultry
chicken-_balady	Galliformes	terrestrial poultry
chicken-_broiler	Galliformes	terrestrial poultry
chicken-_broiler-_non-vaccinated	Galliformes	terrestrial poultry
chicken-_broiler-_vaccinated	Galliformes	terrestrial poultry
chicken-_broiler_breeder	Galliformes	terrestrial poultry
chicken-_commercial_broiler-breeder	Galliformes	terrestrial poultry
chicken-_commercial_layer	Galliformes	terrestrial poultry
chicken-_commercial_layers	Galliformes	terrestrial poultry
chicken-_dead_bird	Galliformes	terrestrial poultry
chicken-_domestic_poultry	Galliformes	terrestrial poultry
chicken-_gallus_gallus_domesticus	Galliformes	terrestrial poultry
chicken-_hiline_layer_chicken	Galliformes	terrestrial poultry
chicken-_hyline_layer_chicken	Galliformes	terrestrial poultry
chicken-_live_bird_market	Galliformes	terrestrial poultry
chicken-_native	Galliformes	terrestrial poultry
chicken-_native_breed	Galliformes	terrestrial poultry
chicken-gallus_gallus_domesticus-	Galliformes	terrestrial poultry
chicken-layer	Galliformes	terrestrial poultry
chicken_breed_hyline	Galliformes	terrestrial poultry
chicken_-breeder-	Galliformes	terrestrial poultry
chicken_-broilers-	Galliformes	terrestrial poultry
chicken_-layer-	Galliformes	terrestrial poultry
chickens	Galliformes	terrestrial poultry
chiken	Galliformes	terrestrial poultry
chinese_francolin	Galliformes	terrestrial poultry
chinese_hwamei	Passeriformes	other birds
chinese_pond_heron	Pelecaniformes	other birds
chinstrap_penguin	Sphenisciformes	other birds
chlidonias_hybridus	Charadriiformes	Anseri/Charadriiformes
chloephaga_picta	Anseriformes	Anseri/Charadriiformes
chroicocephalus_cirrocephalus	Charadriiformes	Anseri/Charadriiformes
chroicocephalus_ridibundus	Charadriiformes	Anseri/Charadriiformes
chroicocephalus_maculipennis	Charadriiformes	Anseri/Charadriiformes
chukar	Galliformes	terrestrial poultry
chuckar	Galliformes	terrestrial poultry
chukka	Galliformes	terrestrial poultry
chukkar	Galliformes	terrestrial poultry
cinnamon_teal	Anseriformes	Anseri/Charadriiformes
circus	Accipitriformes	other birds
circus_aeruginosus	Accipitriformes	other birds
civet_cat	Carnivora	mammalian
ck	Galliformes	terrestrial poultry
clangula_hyemalis	Anseriformes	Anseri/Charadriiformes
clangula_hyemalis_-long-tailed_duck-	Anseriformes	Anseri/Charadriiformes
cloacal_swab_ece1	avian	other birds
clouded_leopard	Carnivora	mammalian
columba_guinea	Columbiformes	other birds
columba_livia	Columbiformes	other birds
columba_sp-	Columbiformes	other birds
comb_duck	Anseriformes	Anseri/Charadriiformes
commercial_layer	Galliformes	terrestrial poultry
commercial_layer_chickens	Galliformes	terrestrial poultry
commercial_layers	Galliformes	terrestrial poultry
commom_teal	Anseriformes	Anseri/Charadriiformes
common_black_duck	Anseriformes	Anseri/Charadriiformes
common_buzzard	Accipitriformes	other birds
common_bussard	Accipitriformes	other birds
common_coot	Gruiformes	other birds
common_cormorant	Suliformes	other birds
common_eider	Anseriformes	Anseri/Charadriiformes
common_goldeneye	Anseriformes	Anseri/Charadriiformes
common_gull	Charadriiformes	Anseri/Charadriiformes
common_iora	Passeriformes	other birds
common_iora_	Passeriformes	other birds
common_kestrel	Falconiformes	other birds
common_ketrel	Falconiformes	other birds
common_magpie	Passeriformes	other birds
common_mallard	Anseriformes	Anseri/Charadriiformes
common_murre	Charadriiformes	Anseri/Charadriiformes
common_myna	Passeriformes	other bird
common_pochard	Anseriformes	Anseri/Charadriiformes
common_redshank	Charadriiformes	Anseri/Charadriiformes
common_scoter	Anseriformes	Anseri/Charadriiformes
common_shelduck	Anseriformes	Anseri/Charadriiformes
common_snipe	Charadriiformes	Anseri/Charadriiformes
common_teal	Anseriformes	Anseri/Charadriiformes
common_tern	Charadriiformes	Anseri/Charadriiformes
commonbuzzard	Accipitriformes	other birds
condor	Cathartiformes	other birds
conure	Psittaciformes	other birds
cooper-s_hawk	Accipitriformes	other birds
coot	Gruiformes	other birds
copsychus_saularis	Passeriformes	other birds
cormorant	Suliformes	other birds
corvus	Passeriformes	other birds
corvus_frugilegus	Passeriformes	other birds
corvus_macrorhynchos	Passeriformes	other birds
coturnic_coturnix	Galliformes	terrestrial poultry
coturnix	Galliformes	terrestrial poultry
coturnix_coturnix	Galliformes	terrestrial poultry
coturnix_japonica	Galliformes	terrestrial poultry
coturnix_sp-	Galliformes	terrestrial poultry
coturnix_sp.	Galliformes	terrestrial poultry
coturnix_quail	Galliformes	terrestrial poultry
crane	Gruiformes	other birds
crested_eagle	Accipitriformes	other birds
crested_goshawk	Accipitriformes	other birds
crested_myna	Passeriformes	other birds
crow	Passeriformes	other birds
crow-_dead_bird	Passeriformes	other birds
crowned_cormorant	Suliformes	other birds
curlew	Charadriiformes	Anseri/Charadriiformes
curlew_sandpiper	Charadriiformes	Anseri/Charadriiformes
cygnus	Anseriformes	Anseri/Charadriiformes
cygnus_atratus	Anseriformes	Anseri/Charadriiformes
cygnus_columbianus	Anseriformes	Anseri/Charadriiformes
cygnus_columbianus_-tundra_swan-	Anseriformes	Anseri/Charadriiformes
cygnus_columbianus_bewickii	Anseriformes	Anseri/Charadriiformes
cygnus_columbianus_jankowskii	Anseriformes	Anseri/Charadriiformes
cygnus_cygnus	Anseriformes	Anseri/Charadriiformes
cygnus_cygnus_-whooper_swan-	Anseriformes	Anseri/Charadriiformes
cygnus_melancoryphus	Anseriformes	Anseri/Charadriiformes
cygnus_olor	Anseriformes	Anseri/Charadriiformes
cygnus_olor_-mute_swan-	Anseriformes	Anseri/Charadriiformes
cygnus_sp-	Anseriformes	Anseri/Charadriiformes
cyrtonyx_montezumai	Galliformes	terrestrial poultry
dabbling_duck	Anseriformes	Anseri/Charadriiformes
dairy_cattle	Artiodactyla	mammalian
dalmatian_pelican	Pelecaniformes	other birds
daurian_starling	Passeriformes	other birds
dendrocygna_autumnalis	Anseriformes	Anseri/Charadriiformes
dendrocygna_viduata	Anseriformes	Anseri/Charadriiformes
dendrocygna_javanica	Anseriformes	Anseri/Charadriiformes
deshi_chicken-gallus_gallus_domesticus-	Galliformes	terrestrial poultry
dog	Carnivora	mammalian
domestic_bird	avian	other birds
domestic_chicken	Galliformes	terrestrial poultry
domestic_cat	Carnivora	mammalian
domestic_dog	Carnivora	mammalian
domestic_duck	Anseriformes	Anseri/Charadriiformes
domestic_duck-_backyard_poultry	Anseriformes	Anseri/Charadriiformes
domestic_goose	Anseriformes	Anseri/Charadriiformes
domestic_green-winged_teal	Anseriformes	Anseri/Charadriiformes
domestic_mallard_duck	Anseriformes	Anseri/Charadriiformes
domestic_poultry	Galliformes	terrestrial poultry
domesticated_duck	Anseriformes	Anseri/Charadriiformes
domesticated_quail	Galliformes	terrestrial poultry
donkey	Perissodactyla	mammalian
double-crested_cormorant	Suliformes	other birds
dove	Columbiformes	other birds
dromaius_novaehollandiae	Casuariiformes	other birds
duck	Anseriformes	Anseri/Charadriiformes
duck-_anas_platyrhyncha	Anseriformes	Anseri/Charadriiformes
duck-_anas_platyrhynchos	Anseriformes	Anseri/Charadriiformes
duck-anas_platyrhynchos_domesticus	Anseriformes	Anseri/Charadriiformes
duck-_anas_platyrhynchos_domesticus	Anseriformes	Anseri/Charadriiformes
duck-_anas_platyrhynchos_var-_domesticus	Anseriformes	Anseri/Charadriiformes
duck-anas_sp--	Anseriformes	Anseri/Charadriiformes
duck-_anseriformes_sp-	Anseriformes	Anseri/Charadriiformes
duck-_balady-_backyard	Anseriformes	Anseri/Charadriiformes
duck-_mallard	Anseriformes	Anseri/Charadriiformes
duck-_mallard-_backyard	Anseriformes	Anseri/Charadriiformes
duck-_mallard-_fattening	Anseriformes	Anseri/Charadriiformes
duck-_mollar	Anseriformes	Anseri/Charadriiformes
duck-_muscovey	Anseriformes	Anseri/Charadriiformes
duck-_muscovy	Anseriformes	Anseri/Charadriiformes
duck-_muscovy-_fattening	Anseriformes	Anseri/Charadriiformes
duck-_muscovy-_pekin	Anseriformes	Anseri/Charadriiformes
duck-_peckin	Anseriformes	Anseri/Charadriiformes
duck-_pekin	Anseriformes	Anseri/Charadriiformes
duck-_pekin-_fattening	Anseriformes	Anseri/Charadriiformes
duck:_mallard	Anseriformes	Anseri/Charadriiformes
duck_	Anseriformes	Anseri/Charadriiformes
duck_backyard	Anseriformes	Anseri/Charadriiformes
duck_broiler	Anseriformes	Anseri/Charadriiformes
duck_mallard	Anseriformes	Anseri/Charadriiformes
duck_voucher_nivr-aivduck-12dk-qb74	Anseriformes	Anseri/Charadriiformes
duck-_wild_duck	Anseriformes	Anseri/Charadriiformes
dunlin	Charadriiformes	Anseri/Charadriiformes
dust_in_poultry_farm	environment	other
eastern_curlew	Charadriiformes	Anseri/Charadriiformes
eagle	Accipitriformes	other birds
eagle_owl	Strigiformes	other birds
eastern_buzzard	Accipitriformes	other birds
eg	unknown	other
egret	Pelecaniformes	other birds
egretta_garzetta	Pelecaniformes	other birds
egypt	unknown	other
egyptian_goose	Anseriformes	Anseri/Charadriiformes
elegant_tern	Charadriiformes	Anseri/Charadriiformes
emperor_goose	Anseriformes	Anseri/Charadriiformes
emu	Casuariiformes	other birds
env	environment	other
environment	environment	other
environment-_water	environment	other
environment_sample	environment	other
environmental	environment	other
environmental_fecal	environment	other
equine	Perissodactyla	mammalian
equus_caballus	Perissodactyla	mammalian
equus_ferus_caballus	Perissodactyla	mammalian
equus_sp-	Perissodactyla	mammalian
eurasian-teal	Anseriformes	Anseri/Charadriiformes
eurasian_coot	Gruiformes	other birds
eurasian_curlew	Charadriiformes	Anseri/Charadriiformes
eurasian_eagel_owl	Strigiformes	other birds
eurasian_eagle_owl	Strigiformes	other birds
eurasian_sparrowhawk	Accipitriformes	other birds
eurasian_teal	Anseriformes	Anseri/Charadriiformes
eurasian_wigeon	Anseriformes	Anseri/Charadriiformes
eurasion_wigeon	Anseriformes	Anseri/Charadriiformes
eurasian_woodcock	Charadriiformes	Anseri/Charadriiformes
european_bee-eater	Coraciiformes	other birds
european_herring_gull	Charadriiformes	Anseri/Charadriiformes
european_teal	Anseriformes	Anseri/Charadriiformes
fairy_bluebird	Passeriformes	other birds
falcated_duck	Anseriformes	Anseri/Charadriiformes
falcata_teal	Anseriformes	Anseri/Charadriiformes
falco	Falconiformes	other birds
falco_peregrinus	Falconiformes	other birds
falco_tinnunculus	Falconiformes	other birds
falcon	Falconiformes	other birds
falsco_rusticolus	Falconiformes	other birds
farm_chicken	Galliformes	terrestrial poultry
feces	environment	other
feline	Carnivora	mammalian
felis_catus	Carnivora	mammalian
feral_pigeon	Columbiformes	other birds
ferret	Carnivora	mammalian
ferruginous_pochard	Anseriformes	Anseri/Charadriiformes
fighting_bird	avian	other birds
finch	Passeriformes	other birds
flamingo	Phoenicopteriformes	other birds
flycatcher	Passeriformes	other birds
fowl	Galliformes	terrestrial poultry
fox	Carnivora	mammalian
francolinus	Galliformes	terrestrial poultry
franklin's_gull	Charadriiformes	Anseri/Charadriiformes
franklin-s_gull	Charadriiformes	Anseri/Charadriiformes
fringilla_montifringilla	Passeriformes	other birds
fulica_armillata	Gruiformes	other birds
fulica_atra	Gruiformes	other birds
fulica_americana	Gruiformes	other birds
fulica_rufifrons	Gruiformes	other birds
g-h	unknown	other
gadwall	Anseriformes	Anseri/Charadriiformes
gadwall_duck	Anseriformes	Anseri/Charadriiformes
gallinago_gallinago	Charadriiformes	Anseri/Charadriiformes
gallinula_chloropus	Gruiformes	other birds
